,lgrg_importance,svc_importance,rfc_importance,mlp_importance,gbt_importance,bundle_measure,bundle_x,measure_x,measure_y,bundle_y
0,0.09955234755721183,0.0749413822432087,0.0005151504399690855,0.15926805317757653,0.0006773629964945123,b1_V1,b1,V1,NumberOfTracts,Arcuate_Fasciculus_L
1,0.10976586874867754,0.13390070626859027,0.0003673429074521146,0.09756047538139584,0.005404859736992768,b1_V2,b1,V2,MeanLength,Arcuate_Fasciculus_L
2,0.09258238557564927,0.08551516714905591,0.0005922758037213543,0.15949488745403312,0.0001577294527243539,b1_V3,b1,V3,Span,Arcuate_Fasciculus_L
3,0.09955234755721183,0.11283123634046761,0.01083979787662007,0.1553755769935873,2.3535102809793872e-05,b1_V4,b1,V4,Curl,Arcuate_Fasciculus_L
4,0.1494725180655088,0.15130767253182925,0.0008289510197399703,0.11587541114825092,4.9322500532623695e-06,b1_V5,b1,V5,Elongation,Arcuate_Fasciculus_L
5,0.09955234755721183,0.09817908349588396,0.0004636954994020833,0.15703600389724753,2.2141859929186208e-16,b1_V6,b1,V6,Diameter,Arcuate_Fasciculus_L
6,0.09955234755721183,0.11858058008595822,0.005205537204977021,0.1596520616559128,1.3510647213996279e-14,b1_V7,b1,V7,Volume,Arcuate_Fasciculus_L
7,0.1192163776061377,0.14568086154811674,0.0037529373121562935,0.1929162422334061,2.0267289188539206e-10,b1_V8,b1,V8,TrunkVolume,Arcuate_Fasciculus_L
8,0.07149210749836396,0.0539042536106264,0.0013314768973312296,0.166828810271785,8.35317326593798e-09,b1_V9,b1,V9,BranchVolume,Arcuate_Fasciculus_L
9,0.10878007551977234,0.1364783518091295,0.001210655380624482,0.13543164998216012,0.0001113323644391491,b1_V10,b1,V10,TotalSurfaceArea,Arcuate_Fasciculus_L
10,0.11084010048340785,0.11595668052931071,0.0008625499327929009,0.13657555216089518,0.00011849839665873029,b1_V11,b1,V11,TotalRadiusOfEndRegions,Arcuate_Fasciculus_L
11,0.09955234755721183,0.07668975060474348,0.002316005157239314,0.15926805317757653,0.00045094977883381197,b1_V12,b1,V12,TotalAreaOfEndRegions,Arcuate_Fasciculus_L
12,0.1528877087058431,0.1622560367365336,0.0011525706843333971,0.1257578102916831,2.924561537882656e-13,b1_V13,b1,V13,Irregularity,Arcuate_Fasciculus_L
13,0.09955234755721183,0.08226825039078037,0.0005989254199924332,0.15890804522913637,1.2808713907138184e-10,b1_V14,b1,V14,AreaOfEndRegion1,Arcuate_Fasciculus_L
